SMU,CF,KE,ARG,STR,CO,ITO,final
1.0,1.0,2.0,2.0,2.0,1.0,1.75,10.75
2.0,2.0,2.0,0.0,2.0,1.0,2.0,11.0
-1.0,2.0,1.0,1.0,1.0,0.0,2.0,6.0
2.0,1.0,1.0,1.0,-2.0,1.0,2.0,6.0
1.0,1.0,2.0,0.0,1.0,1.0,1.75,7.75
1.0,-2.0,0.0,0.0,1.0,1.0,-0.25,0.75
1.0,-1.0,1.0,1.0,-2.0,-1.0,2.0,1.0
2.0,2.0,2.0,2.0,1.0,1.0,2.0,12.0
2.0,2.0,2.0,2.0,-2.0,1.0,2.0,9.0
-1.0,-1.0,1.0,0.0,-2.0,1.0,1.75,-0.25
2.0,1.0,2.0,1.0,1.0,1.0,1.75,9.75
2.0,1.0,2.0,0.0,1.0,0.0,1.75,7.75
2.0,2.0,2.0,1.0,1.0,1.0,1.75,10.75
2.0,-2.0,0.0,0.0,0.0,1.0,-1.5,-0.5
2.0,1.0,2.0,2.0,2.0,1.0,1.75,11.75
-2.0,1.0,1.0,-1.0,-2.0,-2.0,1.75,-3.25
1.0,-1.0,2.0,1.0,-2.0,0.0,0.25,1.25
1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0
2.0,2.0,2.0,0.0,1.0,1.0,1.75,9.75
2.0,-1.0,2.0,0.0,1.0,2.0,0.5,6.5
1.0,1.0,2.0,0.0,2.0,2.0,2.0,10.0
1.0,1.0,2.0,0.0,1.0,2.0,1.75,8.75
1.0,1.0,1.0,1.0,0.0,1.0,1.75,6.75
2.0,1.0,2.0,0.0,-2.0,1.0,1.75,5.75
2.0,1.0,1.0,1.0,1.0,1.0,1.75,8.75
1.0,2.0,2.0,1.0,2.0,1.0,1.75,10.75
2.0,2.0,1.0,1.0,-2.0,2.0,2.0,8.0
1.0,1.0,2.0,1.0,-2.0,0.0,1.5,4.5
1.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0
2.0,0.0,2.0,0.0,1.0,0.0,1.75,6.75
1.0,2.0,2.0,1.0,2.0,1.0,2.0,11.0
2.0,-1.0,0.0,1.0,-2.0,-1.0,1.75,0.75
2.0,2.0,2.0,2.0,-2.0,1.0,2.0,9.0
-1.0,-2.0,0.0,1.0,-2.0,-1.0,1.5,-3.5
2.0,1.0,2.0,2.0,-2.0,1.0,1.75,7.75
2.0,1.0,2.0,1.0,1.0,2.0,1.75,10.75
2.0,0.0,1.0,0.0,-2.0,2.0,1.5,4.5
2.0,1.0,2.0,2.0,-2.0,1.0,1.75,7.75
1.0,1.0,0.0,1.0,1.0,1.0,1.75,6.75
2.0,0.0,2.0,0.0,-2.0,1.0,2.0,5.0
2.0,1.0,2.0,1.0,1.0,1.0,2.0,10.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
2.0,1.0,2.0,1.0,-2.0,2.0,2.0,8.0
2.0,0.0,2.0,2.0,-2.0,1.0,1.75,6.75
1.0,1.0,2.0,2.0,1.0,1.0,1.75,9.75
1.0,1.0,1.0,-2.0,2.0,0.0,1.75,4.75
2.0,2.0,2.0,1.0,-2.0,1.0,2.0,8.0
2.0,1.0,2.0,1.0,-2.0,2.0,2.0,8.0
2.0,1.0,2.0,1.0,-2.0,1.0,1.75,6.75
0.0,1.0,2.0,0.0,1.0,1.0,2.0,7.0
1.0,1.0,1.0,1.0,2.0,-1.0,2.0,7.0
2.0,-1.0,0.0,0.0,-2.0,1.0,-0.5,-0.5
0.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0
1.0,-1.0,1.0,1.0,-2.0,1.0,2.0,3.0
2.0,2.0,2.0,1.0,1.0,2.0,2.0,12.0
2.0,1.0,2.0,1.0,-2.0,2.0,2.0,8.0
1.0,0.0,2.0,0.0,-2.0,1.0,1.5,3.5
2.0,1.0,2.0,2.0,-2.0,1.0,1.5,7.5
2.0,0.0,2.0,1.0,2.0,1.0,1.5,9.5
1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0
2.0,1.0,2.0,1.0,1.0,-1.0,1.75,7.75
1.0,1.0,2.0,1.0,-2.0,1.0,1.5,5.5
-1.0,0.0,1.0,0.0,1.0,-1.0,1.5,1.5
-1.0,0.0,0.0,0.0,-2.0,1.0,1.25,-0.75
2.0,2.0,1.0,2.0,2.0,1.0,2.0,12.0
-2.0,-2.0,0.0,0.0,1.0,-2.0,0.25,-4.75
1.0,1.0,1.0,0.0,2.0,1.0,1.5,7.5
1.0,2.0,-1.0,0.0,1.0,0.0,1.5,4.5
-1.0,-2.0,0.0,0.0,1.0,-1.0,0.25,-2.75
0.0,1.0,1.0,0.0,1.0,0.0,1.25,4.25
2.0,1.0,1.0,0.0,1.0,1.0,1.25,7.25
1.0,1.0,1.0,0.0,1.0,0.0,1.25,5.25
0.0,-2.0,-1.0,0.0,-2.0,-1.0,0.25,-5.75
1.0,-2.0,0.0,0.0,-2.0,0.0,-1.0,-4.0
-1.0,0.0,1.0,0.0,1.0,2.0,-0.5,2.5
-2.0,-2.0,0.0,0.0,-2.0,1.0,-0.5,-5.5
0.0,-2.0,0.0,0.0,-2.0,1.0,0.0,-3.0
0.0,-2.0,0.0,0.0,-2.0,0.0,-1.0,-5.0
-1.0,-1.0,0.0,1.0,-2.0,-1.0,0.25,-3.75
-2.0,-2.0,0.0,0.0,-2.0,0.0,-0.25,-6.25
0.0,0.0,1.0,1.0,-2.0,1.0,1.25,2.25
1.0,-2.0,1.0,0.0,1.0,-2.0,1.25,0.25
0.0,0.0,2.0,2.0,-2.0,0.0,1.0,3.0
0.0,0.0,0.0,0.0,1.0,-2.0,0.75,-0.25
0.0,1.0,1.0,0.0,-2.0,1.0,1.5,2.5
0.0,0.0,0.0,0.0,1.0,-2.0,0.5,-0.5
0.0,-2.0,0.0,0.0,-2.0,0.0,-0.75,-4.75
0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
0.0,-2.0,0.0,0.0,-2.0,1.0,-1.0,-4.0
1.0,1.0,1.0,1.0,-2.0,-2.0,0.0,0.0
1.0,1.0,-1.0,0.0,-2.0,0.0,1.25,0.25
-1.0,-1.0,-1.0,0.0,-2.0,-2.0,1.0,-6.0
-1.0,-2.0,-1.0,0.0,-2.0,0.0,-0.75,-6.75
0.0,-2.0,-1.0,0.0,-2.0,1.0,-0.75,-4.75
-1.0,-2.0,-1.0,0.0,-2.0,-2.0,-1.5,-9.5
1.0,0.0,1.0,1.0,1.0,0.0,1.5,5.5
-1.0,0.0,1.0,1.0,-2.0,0.0,0.5,-0.5
-1.0,-1.0,1.0,1.0,-2.0,1.0,1.0,0.0
-1.0,-1.0,0.0,1.0,-2.0,0.0,0.5,-2.5
0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.5
1.0,-2.0,1.0,1.0,-2.0,1.0,0.5,0.5
-1.0,-2.0,0.0,1.0,1.0,0.0,0.5,-0.5
-1.0,-2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.25,-12.25
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-14.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-14.0
-2.0,-2.0,-2.0,0.0,1.0,0.0,-1.25,-6.25
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-0.75,-9.75
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.0,-10.0
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-0.5,-9.5
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.0,-10.0
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.25,-10.25
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.25,-10.25
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.25,-10.25
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.25,-10.25
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.5,-10.5
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.5,-10.5
-2.0,-2.0,-2.0,0.0,-2.0,-1.0,-1.25,-10.25
-2.0,-2.0,-2.0,0.0,1.0,0.0,-0.75,-5.75
1.0,1.0,0.0,0.0,1.0,0.0,0.5,3.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.0,2.0,1.0,2.0,1.25,10.25
1.0,1.0,2.0,0.0,1.0,0.0,1.5,6.5
2.0,2.0,2.0,2.0,-2.0,1.0,1.5,8.5
2.0,1.0,2.0,0.0,1.0,1.0,1.25,8.25
1.0,2.0,2.0,0.0,-2.0,2.0,1.25,6.25
2.0,1.0,2.0,1.0,-2.0,1.0,1.5,6.5
2.0,1.0,2.0,1.0,-2.0,1.0,1.25,6.25
1.0,1.0,2.0,1.0,-2.0,2.0,1.25,6.25
1.0,2.0,-1.0,1.0,-2.0,1.0,1.5,3.5
2.0,1.0,1.0,0.0,-2.0,1.0,1.5,4.5
2.0,0.0,2.0,1.0,-2.0,1.0,1.25,5.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
1.0,1.0,1.0,1.0,-2.0,1.0,1.25,4.25
2.0,2.0,1.0,1.0,-2.0,1.0,1.25,6.25
2.0,2.0,2.0,2.0,-2.0,1.0,1.5,8.5
2.0,1.0,2.0,1.0,-2.0,1.0,1.5,6.5
1.0,0.0,2.0,0.0,-2.0,0.0,0.75,1.75
-1.0,-1.0,0.0,0.0,-2.0,1.0,1.0,-2.0
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
-1.0,0.0,1.0,1.0,-2.0,-2.0,1.5,-1.5
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
2.0,1.0,2.0,0.0,-2.0,1.0,1.25,5.25
1.0,1.0,2.0,1.0,-2.0,1.0,1.25,5.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
2.0,0.0,2.0,0.0,-2.0,1.0,1.25,4.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.0,7.0
1.0,1.0,2.0,1.0,-2.0,1.0,1.25,5.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
2.0,1.0,1.0,0.0,-2.0,0.0,1.0,3.0
1.0,0.0,-2.0,0.0,-2.0,-2.0,1.25,-3.75
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
2.0,1.0,2.0,1.0,-2.0,1.0,1.25,6.25
2.0,2.0,2.0,0.0,-2.0,2.0,1.5,7.5
1.0,1.0,2.0,0.0,-2.0,1.0,1.5,4.5
1.0,1.0,1.0,0.0,-2.0,1.0,1.5,3.5
2.0,2.0,2.0,1.0,-2.0,1.0,1.25,7.25
1.0,0.0,-1.0,0.0,1.0,0.0,1.0,2.0
1.0,1.0,1.0,0.0,-2.0,1.0,1.0,3.0
1.0,1.0,1.0,0.0,-2.0,1.0,1.5,3.5
0.0,0.0,-1.0,0.0,-2.0,0.0,0.75,-2.25
1.0,1.0,2.0,0.0,2.0,2.0,1.25,9.25
1.0,1.0,1.0,1.0,-2.0,1.0,1.25,4.25
2.0,2.0,2.0,0.0,-2.0,1.0,1.25,6.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
2.0,2.0,2.0,1.0,-2.0,1.0,1.25,7.25
0.0,0.0,0.0,0.0,-2.0,-1.0,0.75,-2.25
2.0,1.0,-1.0,0.0,-2.0,1.0,1.25,2.25
2.0,2.0,2.0,0.0,-2.0,2.0,1.5,7.5
1.0,0.0,1.0,0.0,-2.0,1.0,1.0,2.0
2.0,2.0,2.0,0.0,-2.0,1.0,1.25,6.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.25,7.25
-2.0,0.0,0.0,0.0,-2.0,0.0,0.25,-3.75
2.0,1.0,0.0,1.0,-2.0,1.0,1.25,4.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.5,7.5
1.0,2.0,1.0,1.0,-2.0,0.0,0.75,3.75
1.0,2.0,1.0,1.0,-2.0,1.0,1.25,5.25
2.0,1.0,2.0,1.0,-2.0,1.0,1.5,6.5
1.0,2.0,2.0,0.0,-2.0,1.0,0.5,4.5
-1.0,1.0,0.0,0.0,-2.0,0.0,0.75,-1.25
1.0,1.0,1.0,0.0,-2.0,1.0,1.0,3.0
2.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0
1.0,1.0,1.0,0.0,-2.0,1.0,1.0,3.0
0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.5
1.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,-3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0,0.0,0.75,4.75
0.0,1.0,1.0,1.0,-2.0,0.0,-0.5,0.5
2.0,-2.0,0.0,0.0,-2.0,1.0,-1.0,-2.0
1.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
1.0,1.0,1.0,0.0,-2.0,1.0,1.25,3.25
2.0,1.0,1.0,2.0,-2.0,2.0,0.5,6.5
-2.0,0.0,1.0,-2.0,-2.0,1.0,1.0,-3.0
2.0,2.0,2.0,2.0,-2.0,1.0,1.25,8.25
-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-3.0
1.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0
1.0,0.0,2.0,0.0,-2.0,1.0,0.25,2.25
-2.0,1.0,2.0,-1.0,-2.0,0.0,0.75,-1.25
0.0,0.0,0.0,0.0,-2.0,0.0,0.25,-1.75
1.0,0.0,1.0,0.0,-2.0,0.0,0.75,0.75
0.0,1.0,1.0,0.0,1.0,0.0,0.75,3.75
1.0,1.0,1.0,0.0,-2.0,0.0,1.0,2.0
0.0,-2.0,0.0,0.0,-2.0,1.0,-0.75,-3.75
2.0,0.0,2.0,0.0,-2.0,1.0,1.0,4.0
2.0,2.0,2.0,2.0,-2.0,2.0,1.25,9.25
2.0,2.0,2.0,0.0,1.0,1.0,1.25,9.25
1.0,0.0,1.0,0.0,-2.0,1.0,0.75,1.75
1.0,1.0,2.0,2.0,-2.0,1.0,1.0,6.0
2.0,1.0,2.0,0.0,-2.0,1.0,1.25,5.25
2.0,2.0,2.0,0.0,-2.0,2.0,1.0,7.0
1.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0
2.0,2.0,2.0,0.0,-2.0,1.0,1.0,6.0
1.0,0.0,1.0,1.0,2.0,1.0,1.0,7.0
1.0,1.0,2.0,2.0,-2.0,1.0,1.0,6.0
0.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,-2.0,0.0,0.5,-1.5
-1.0,-1.0,1.0,0.0,-2.0,1.0,0.5,-1.5
2.0,2.0,2.0,2.0,2.0,1.0,1.25,12.25
1.0,1.0,1.0,1.0,1.0,1.0,0.25,6.25
1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0
1.0,1.0,-1.0,1.0,-2.0,1.0,0.75,1.75
1.0,1.0,1.0,2.0,-2.0,1.0,0.75,4.75
1.0,0.0,0.0,1.0,1.0,0.0,0.75,3.75
1.0,1.0,2.0,2.0,-2.0,1.0,1.0,6.0
1.0,1.0,2.0,2.0,-2.0,0.0,0.75,4.75
1.0,1.0,2.0,2.0,-2.0,0.0,0.75,4.75
1.0,1.0,2.0,2.0,1.0,1.0,0.75,8.75
1.0,1.0,2.0,2.0,-2.0,1.0,1.0,6.0
1.0,1.0,2.0,2.0,-2.0,2.0,1.25,7.25
-1.0,1.0,2.0,2.0,-2.0,1.0,1.0,4.0
-1.0,1.0,1.0,2.0,-2.0,0.0,0.75,1.75
0.0,0.0,0.0,0.0,-2.0,0.0,1.0,-1.0
0.0,0.0,0.0,1.0,-2.0,0.0,0.25,-0.75
1.0,1.0,1.0,1.0,1.0,1.0,0.75,6.75
1.0,1.0,2.0,2.0,-2.0,1.0,1.0,6.0
1.0,0.0,0.0,2.0,1.0,1.0,0.75,5.75
1.0,1.0,2.0,2.0,-2.0,1.0,1.0,6.0
2.0,2.0,2.0,2.0,-2.0,1.0,1.25,8.25
1.0,1.0,0.0,0.0,-2.0,0.0,0.25,0.25
0.0,0.0,0.0,0.0,-2.0,0.0,0.25,-1.75
-1.0,-2.0,0.0,0.0,-2.0,1.0,-0.75,-4.75
1.0,1.0,1.0,0.0,-2.0,1.0,1.0,3.0
2.0,1.0,2.0,2.0,-2.0,1.0,1.25,7.25
-1.0,-1.0,0.0,0.0,-2.0,1.0,-0.25,-3.25
-2.0,-2.0,0.0,0.0,-2.0,1.0,-2.0,-7.0
-2.0,-2.0,0.0,0.0,-2.0,1.0,-2.0,-7.0
-2.0,-2.0,0.0,0.0,-2.0,1.0,-2.0,-7.0
-2.0,-2.0,0.0,0.0,-2.0,1.0,-2.0,-7.0
0.0,-1.0,0.0,0.0,-2.0,1.0,0.5,-1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,1.0,1.0,1.0,1.25,7.25
2.0,1.0,1.0,1.0,-2.0,1.0,1.5,5.5
2.0,1.0,2.0,1.0,-2.0,2.0,1.5,7.5
1.0,1.0,1.0,0.0,-2.0,1.0,1.25,3.25
2.0,1.0,1.0,1.0,-2.0,2.0,1.75,6.75
1.0,1.0,1.0,1.0,2.0,1.0,1.5,8.5
1.0,1.0,1.0,1.0,-2.0,-1.0,1.25,2.25
1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,2.0
2.0,0.0,1.0,0.0,-2.0,-1.0,1.25,1.25
2.0,2.0,2.0,1.0,-2.0,1.0,1.75,7.75
-1.0,0.0,1.0,0.0,-2.0,0.0,1.5,-0.5
1.0,0.0,1.0,0.0,-2.0,0.0,1.25,1.25
1.0,-1.0,0.0,0.0,-2.0,0.0,1.25,-0.75
2.0,0.0,2.0,2.0,-2.0,-2.0,1.0,3.0
1.0,2.0,1.0,1.0,-2.0,1.0,2.0,6.0
2.0,1.0,2.0,0.0,-2.0,2.0,1.75,6.75
2.0,1.0,2.0,0.0,-2.0,1.0,1.25,5.25
1.0,1.0,2.0,0.0,-2.0,1.0,1.0,4.0
1.0,1.0,2.0,1.0,-2.0,1.0,1.5,5.5
2.0,2.0,2.0,1.0,1.0,1.0,1.75,10.75
1.0,1.0,2.0,1.0,-2.0,1.0,2.0,6.0
2.0,1.0,2.0,1.0,-2.0,1.0,1.75,6.75
2.0,1.0,2.0,1.0,-2.0,1.0,1.75,6.75
1.0,2.0,2.0,1.0,-2.0,1.0,2.0,7.0
0.0,1.0,0.0,0.0,-2.0,-1.0,1.5,-0.5
1.0,1.0,2.0,1.0,-2.0,1.0,1.5,5.5
0.0,1.0,0.0,0.0,-2.0,0.0,1.25,0.25
1.0,1.0,2.0,1.0,-2.0,2.0,1.5,6.5
1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,2.0
0.0,0.0,0.0,0.0,-2.0,-1.0,0.75,-2.25
0.0,1.0,0.0,1.0,-2.0,1.0,2.0,3.0
2.0,2.0,2.0,1.0,-2.0,1.0,1.25,7.25
2.0,2.0,2.0,2.0,-2.0,2.0,1.75,9.75
1.0,0.0,0.0,0.0,-2.0,0.0,1.25,0.25
0.0,0.0,0.0,0.0,-2.0,1.0,1.75,0.75
1.0,1.0,1.0,1.0,-2.0,1.0,1.5,4.5
1.0,1.0,2.0,1.0,-2.0,1.0,1.5,5.5
2.0,1.0,2.0,0.0,-2.0,1.0,1.0,5.0
2.0,1.0,2.0,1.0,-2.0,1.0,1.75,6.75
1.0,1.0,1.0,0.0,-2.0,0.0,1.75,2.75
1.0,-1.0,1.0,0.0,-2.0,0.0,0.25,-0.75
0.0,0.0,0.0,0.0,-2.0,-1.0,1.25,-1.75
1.0,1.0,2.0,0.0,-2.0,1.0,1.75,4.75
1.0,0.0,2.0,0.0,-2.0,1.0,1.25,3.25
1.0,1.0,2.0,1.0,-2.0,1.0,1.25,5.25
1.0,1.0,2.0,0.0,1.0,2.0,1.0,8.0
1.0,1.0,1.0,1.0,-2.0,1.0,1.0,4.0
0.0,0.0,0.0,0.0,-2.0,0.0,-0.75,-2.75
1.0,0.0,0.0,0.0,-2.0,0.0,1.5,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,1.0,2.0,1.0,-2.0,1.0,1.25,3.25
2.0,-2.0,0.0,1.0,-2.0,0.0,-0.75,-1.75
2.0,1.0,2.0,1.0,-2.0,0.0,1.5,5.5
